id;question;choice1;choice2;choice3;choice4;solution;qtype;solution_num;area;num_loc;num
28;Альт - это;смычковый музыкальный инструмент;самый высокий из четырех главных музыкальных голосов, бывает только у женщин и мальчиков;Варианты 1 и 2 оба верные;Ни один из вариантов 1-3 не верен;смычковый музыкальный инструмент;0;1;2;34;17
29;Расположите следующие острова в порядке убывания площади: Мадагаскар, Исландия, Куба;Мадагаскар, Исландия, Куба;Мадагаскар, Куба, Исландия;Исандия, Куба, Мадагаскар;Ни один из перечисленных вариантов;Мадагаскар, Куба, Исландия;0;2;5;26;38
30;Деверь - это;брат жены;брат мужа;Варианты 1 и 2 оба верные;Ни один из вариантов 1-3 не верен;брат мужа;0;2;2;78;22
31;"Автор строк ""Не спрашивай, по ком звонит колокол, он звонит по тебе""";Уильям Шекспир;Джон Донн;Эрнест Хемингуей;Франклин Делано Рузвельт;Джон Донн;0;2;2;9;13
32;"Автор оперы ""Ловцы жемчуга""";Йозеф Гайдн;Гектор Берлиоз;Вольфганг Амадей Моцарт;Ни один из вышеперечисленных;Ни один из вышеперечисленных;0;4;3;5;26
33;Алиса пошла покупать ручки и карандаши и поняла, что на все деньги она может купить или б ручек, или 12 карандашей. Она решила купить поровну ручек и карандашей. Сколько ручек она купила?;;;;;4;1;4;1;57;9
34;Зять - это;муж дочери;муж сестры;Варианты 1 и 2 оба верные;Ни один из вариантов 1-3 не верен;Варианты 1 и 2 оба верные;0;3;2;81;16
35;Высота горы Олимп на Марсе:;Свыше 20 км;Около 8 км;Около 5,5 км;Около 11 км;Свыше 20 км;0;1;5;6;36
36;Латинское обозначение химического элемента фосфор;Fr;F;Fo;P;P;0;4;6;12;40
37;Сколько лет было Суворову во время его Швейцарского похода?;39;48;55;68;68;0;4;4;27;30
38;Столица Марокко;Касабланка;Сана;Доха;Рабат;Рабат;0;4;5;43;34
39;Весталка - это;женщина легкого поведения;жрица римской богини Весты;Варианты 1 и 2 оба верные;Ни один из вариантов 1-3 не верен;жрица римской богини Весты;0;2;2;26;12
40;Руководитель экспедиции, впервые достигщей Южного полюса;Фритьоф Нансен;Роберт Скотт;Руаль Амундсен;Ни один из вариантов 1-3 не верен;Руаль Амундсен;0;3;4;17;31
